Rok;Celkem;;;;;;;;;;;;;
2001;373272;
2002;370505;
2003;369559;
2004;367729;
2005;366757;
2006;366680;
2007;368533;
2008;370592;
2009;371399;
2010;371371;
2011;378965;
2012;378327
2013;377508
2014;377440
2015;377028
2016;377549
2017;379527
