Útvar městské části (okres) PČR;Základní útvar PČR, kde došlo k činu;Stadium TČ, 1-příparava, 2-pokus, 3-dokonaný;Druh TČ, 11-zločin, 18-přečin;Takticko-statistická klasifikace činu;Spácháno na ulici-1, ne-2;Čin spáchán na : viz číselník;Použití zbraně : viz číselník;Druh použité zbraně : viz číselník;Datum spáchání činu, či zahájení konání;Datum ukončení konání činu (pokud jiné datum);Předmět zájmu pachatele č. 1;Předmět zájmu pachatele nebo vztah pachatele k oběti - text;Předmět zájmu pachatele č. 2;Předmět zájmu pachatele nebo vztah pachatele k oběti - text;Předmět zájmu pachatele č. 3;Předmět zájmu pachatele nebo vztah pachatele k oběti - text;Celková způsobená škoda v Kč;Hlavní kvalifikace činu - paragraf TZ;První odstavec ;Druhý odstavec;Souběhový paragraf;Odstavec souběhu;Druhý souběhový paragraf;Odstavec souběhu;Datum zahájení trestního řízení;Datum ukončení trestního řízení;Způsob ukončení trestního řízení;"Způsob ukončení trestního řízení - text (kde je kód ""0"" tam ještě řízení nemusí být ukončeno"
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;18.09.2016;18.09.2016;13;osobní průkazy a pasy zahraniční;19;ostatní -osobní doklady a předtisky;24;valuty a devizy - bankovky;1084;205;1d;;;;;;20.09.2016;07.11.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;29.08.2016;02.01.1900;162;Kufry, aktovky, kabelky, peněženky, pásky;19;ostatní -osobní doklady a předtisky;21;peníze;1460;205;1d;;234;1;;;29.08.2016;04.11.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;04.09.2016;04.09.2016;21;peníze;11;občanské průkazy;19;ostatní -osobní doklady a předtisky;2540;205;1d;;;;;;04.09.2016;11.10.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;25.08.2016;25.08.2016;11;občanské průkazy;19;ostatní -osobní doklady a předtisky;162;Kufry, aktovky, kabelky, peněženky, pásky;1000;205;1d;;;;;;26.08.2016;21.10.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;30.09.2016;30.09.2016;20;platební karty;0;nic;0;nic;2000;205;1d;;234;1;;;30.09.2016;29.11.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;2;6;0;0;18.08.2016;18.08.2016;162;Kufry, aktovky, kabelky, peněženky, pásky;21;peníze;11;občanské průkazy;4600;205;1d;;;;;;19.08.2016;05.10.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;26.08.2016;26.08.2016;11;občanské průkazy;20;platební karty;21;peníze;2065;205;1d;;234;1;;;26.08.2016;26.10.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;2;6;0;0;24.09.2016;24.09.2016;21;peníze;11;občanské průkazy;20;platební karty;1160;205;1d;;234;1;;;24.09.2016;03.11.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;09.09.2016;09.09.2016;13;osobní průkazy a pasy zahraniční;24;valuty a devizy - bankovky;16;řidičské průkazy;2430;205;1d;;;;;;09.09.2016;01.11.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;2;6;0;0;20.08.2016;20.08.2016;162;Kufry, aktovky, kabelky, peněženky, pásky;21;peníze;11;občanské průkazy;3500;205;1d;;234;1;;;22.08.2016;02.10.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;2;6;0;0;15.08.2016;15.08.2016;20;platební karty;21;peníze;16;řidičské průkazy;1100;205;1d;;234;1;;;15.08.2016;11.10.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;28.08.2016;28.08.2016;162;Kufry, aktovky, kabelky, peněženky, pásky;21;peníze;20;platební karty;2300;205;1d;;234;1;;;29.08.2016;26.09.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;27.09.2016;27.09.2016;21;peníze;11;občanské průkazy;20;platební karty;8665;205;1a;1d;234;1;;;27.09.2016;10.11.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;2;6;0;0;17.09.2016;18.09.2016;162;Kufry, aktovky, kabelky, peněženky, pásky;21;peníze;11;občanské průkazy;450;205;1d;;;;;;21.09.2016;20.10.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;15.09.2016;15.09.2016;162;Kufry, aktovky, kabelky, peněženky, pásky;21;peníze;11;občanské průkazy;1600;205;1d;;234;1;;;15.09.2016;17.10.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;11.09.2016;11.09.2016;70;mobilní telefony;0;nic;0;nic;3590;205;1d;;;;;;12.09.2016;09.11.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;18.09.2016;18.09.2016;11;občanské průkazy;21;peníze;20;platební karty;50;205;1d;;234;1;;;18.09.2016;14.11.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;2;6;0;0;18.09.2016;18.09.2016;162;Kufry, aktovky, kabelky, peněženky, pásky;11;občanské průkazy;16;řidičské průkazy;2000;205;1d;;234;1;;;20.09.2016;01.11.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;26.08.2016;26.08.2016;70;mobilní telefony;0;nic;0;nic;7207;205;1a;1d;;;;;26.08.2016;11.10.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;25.09.2016;25.09.2016;11;občanské průkazy;21;peníze;20;platební karty;2000;205;1d;;234;1;;;27.09.2016;09.11.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;2;6;0;0;19.09.2016;19.09.2016;21;peníze;20;platební karty;0;nic;31080;205;1a;1d;234;1;;;19.09.2016;10.11.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;12.08.2016;12.08.2016;20;platební karty;21;peníze;11;občanské průkazy;5550;205;1a;1d;234;1;;;13.08.2016;16.09.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;2;6;0;0;05.09.2016;05.09.2016;21;peníze;0;nic;0;nic;600;205;1d;;234;1;;;08.09.2016;04.11.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;22.09.2016;22.09.2016;70;mobilní telefony;0;nic;0;nic;2500;205;1d;;;;;;23.09.2016;02.01.1900;0;nic
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;18.08.2016;19.08.2016;70;mobilní telefony;11;občanské průkazy;16;řidičské průkazy;10300;205;1a;1d;;;;;19.08.2016;11.10.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;18.08.2016;18.08.2016;21;peníze;20;platební karty;0;nic;11090;205;1a;1d;234;1;;;22.08.2016;17.10.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;20.08.2016;20.08.2016;162;Kufry, aktovky, kabelky, peněženky, pásky;70;mobilní telefony;0;nic;4300;205;1d;;;;;;21.08.2016;07.10.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;19.08.2016;19.08.2016;70;mobilní telefony;0;nic;0;nic;6177;205;1a;1d;;;;;22.08.2016;11.10.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;06.08.2016;06.08.2016;21;peníze;11;občanské průkazy;16;řidičské průkazy;2200;205;1d;;234;1;;;06.08.2016;23.09.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;07.08.2016;07.08.2016;21;peníze;20;platební karty;19;ostatní -osobní doklady a předtisky;1150;205;1d;;234;1;;;15.08.2016;06.10.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;30.08.2016;30.08.2016;162;Kufry, aktovky, kabelky, peněženky, pásky;21;peníze;11;občanské průkazy;1900;205;1d;;234;1;;;30.08.2016;27.09.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;2;6;0;0;20.09.2016;20.09.2016;162;Kufry, aktovky, kabelky, peněženky, pásky;21;peníze;11;občanské průkazy;1200;205;1d;;234;1;;;23.09.2016;14.11.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;22.09.2016;22.09.2016;21;peníze;19;ostatní -osobní doklady a předtisky;0;nic;2000;205;1d;;;;;;22.09.2016;04.10.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;29.08.2016;29.08.2016;21;peníze;20;platební karty;11;občanské průkazy;9500;205;1a;1d;234;1;;;29.08.2016;10.10.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;01.09.2016;02.01.1900;162;Kufry, aktovky, kabelky, peněženky, pásky;24;valuty a devizy - bankovky;0;nic;2995;205;1d;;;;;;01.09.2016;02.09.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;3;18;411;2;6;0;0;26.08.2016;26.08.2016;62;snímací a promítací kinopřístroje;0;nic;0;nic;11300;205;1a;1d;;;;;26.08.2016;24.10.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;02.09.2016;02.09.2016;70;mobilní telefony;0;nic;0;nic;7400;205;1a;1d;;;;;02.09.2016;27.10.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;02.09.2016;02.09.2016;11;občanské průkazy;0;nic;0;nic;200;205;1d;;;;;;09.09.2016;04.11.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;5;0;0;17.09.2016;17.09.2016;21;peníze;11;občanské průkazy;162;Kufry, aktovky, kabelky, peněženky, pásky;2500;205;1d;;234;1;;;17.09.2016;18.10.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;27.07.2016;27.07.2016;21;peníze;20;platební karty;19;ostatní -osobní doklady a předtisky;2900;205;1b;;234;1;;;27.07.2016;20.09.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;2;6;0;0;29.09.2016;29.09.2016;21;peníze;11;občanské průkazy;0;nic;77000;205;1d;3;;;;;29.09.2016;24.11.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;24.08.2016;24.08.2016;21;peníze;11;občanské průkazy;70;mobilní telefony;4180;205;1d;;;;;;24.08.2016;20.09.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;06.08.2016;06.08.2016;0;nic;0;nic;0;nic;3500;205;1d;;234;1;;;08.08.2016;20.09.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;2;6;0;0;05.08.2016;05.08.2016;21;peníze;20;platební karty;19;ostatní -osobní doklady a předtisky;4700;205;1d;2;234;1;;;08.08.2016;04.11.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;3;18;411;2;6;0;0;02.10.2016;02.10.2016;11;občanské průkazy;16;řidičské průkazy;20;platební karty;900;205;1d;;234;1;;;02.10.2016;21.11.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;06.08.2016;06.08.2016;70;mobilní telefony;0;nic;0;nic;15000;205;1a;1d;;;;;06.08.2016;08.09.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;21.09.2016;21.09.2016;407;i-phony, tablety a jiné (chytré) mobilní telefony;0;nic;0;nic;7000;205;1a;1d;;;;;21.09.2016;01.11.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;2;1;0;0;18.08.2016;18.08.2016;21;peníze;11;občanské průkazy;0;nic;2600;205;1d;2;234;1;;;18.08.2016;10.11.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;06.08.2016;06.08.2016;12;cestovní pasy;0;nic;0;nic;600;205;1d;;;;;;06.08.2016;20.09.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;2;6;0;0;28.08.2016;28.08.2016;21;peníze;11;občanské průkazy;16;řidičské průkazy;2485;205;1d;;234;1;;;28.08.2016;25.10.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;16.09.2016;16.09.2016;11;občanské průkazy;21;peníze;70;mobilní telefony;13000;205;1d;;234;1;;;16.09.2016;02.01.1900;0;nic
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;17.09.2016;17.09.2016;70;mobilní telefony;11;občanské průkazy;21;peníze;3600;205;1d;;;;;;19.09.2016;07.11.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;2;6;0;0;16.09.2016;16.09.2016;21;peníze;13;osobní průkazy a pasy zahraniční;20;platební karty;1500;205;1d;;234;1;;;16.09.2016;23.11.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;28.08.2016;28.08.2016;21;peníze;20;platební karty;19;ostatní -osobní doklady a předtisky;3716;205;1d;;234;1;;;29.08.2016;25.10.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;2;6;0;0;13.08.2016;13.08.2016;11;občanské průkazy;16;řidičské průkazy;162;Kufry, aktovky, kabelky, peněženky, pásky;3160;205;1d;;234;1;;;13.08.2016;14.09.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;2;6;0;0;07.08.2016;07.08.2016;162;Kufry, aktovky, kabelky, peněženky, pásky;70;mobilní telefony;19;ostatní -osobní doklady a předtisky;2878;205;1d;;;;;;07.08.2016;26.09.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;2;6;0;0;07.08.2016;07.08.2016;21;peníze;0;nic;0;nic;6000;205;1a;1d;;;;;07.08.2016;04.10.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;2;6;0;0;18.08.2016;18.08.2016;162;Kufry, aktovky, kabelky, peněženky, pásky;11;občanské průkazy;16;řidičské průkazy;500;205;1d;;234;1;;;19.08.2016;11.10.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;02.07.2016;02.07.2016;21;peníze;0;nic;0;nic;2781;205;1d;;234;1;;;03.08.2016;26.09.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;18.09.2016;18.09.2016;21;peníze;20;platební karty;11;občanské průkazy;700;205;1d;;234;1;;;18.09.2016;19.10.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;16.08.2016;02.01.1900;11;občanské průkazy;19;ostatní -osobní doklady a předtisky;20;platební karty;300;205;1d;;234;1;;;16.08.2016;04.11.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;3;18;411;2;6;0;0;20.08.2016;20.08.2016;20;platební karty;13;osobní průkazy a pasy zahraniční;21;peníze;3160;205;1d;;234;1;;;20.08.2016;11.10.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;05.09.2016;05.09.2016;21;peníze;24;valuty a devizy - bankovky;20;platební karty;4990;205;1d;;234;1;;;06.09.2016;02.11.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;28.09.2016;28.09.2016;11;občanské průkazy;16;řidičské průkazy;21;peníze;5300;205;1a;1d;234;1;;;29.09.2016;24.11.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;13.08.2016;13.08.2016;70;mobilní telefony;0;nic;0;nic;2200;205;1d;;;;;;13.08.2016;20.09.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;2;6;0;0;07.08.2016;07.08.2016;21;peníze;16;řidičské průkazy;0;nic;2100;205;1d;;;;;;07.08.2016;09.09.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;14.08.2016;14.08.2016;21;peníze;11;občanské průkazy;16;řidičské průkazy;14600;205;1a;1d;234;1;;;15.08.2016;29.09.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;2;6;0;0;02.08.2016;02.08.2016;70;mobilní telefony;0;nic;0;nic;5500;205;1a;1d;;;;;18.08.2016;27.09.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;25.08.2016;25.08.2016;162;Kufry, aktovky, kabelky, peněženky, pásky;21;peníze;11;občanské průkazy;2490;205;1d;;234;1;;;25.08.2016;19.10.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;27.08.2016;28.08.2016;145;klíče od domu,bytu;70;mobilní telefony;0;nic;1000;205;1d;;;;;;06.09.2016;20.10.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;2;6;0;0;02.09.2016;02.09.2016;21;peníze;20;platební karty;16;řidičské průkazy;1580;205;1d;;234;1;;;02.09.2016;01.11.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;21.09.2016;21.09.2016;162;Kufry, aktovky, kabelky, peněženky, pásky;20;platební karty;11;občanské průkazy;1390;205;1d;;234;1;;;21.09.2016;21.11.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;2;6;0;0;15.08.2016;15.08.2016;162;Kufry, aktovky, kabelky, peněženky, pásky;11;občanské průkazy;19;ostatní -osobní doklady a předtisky;600;205;1d;;;;;;15.08.2016;29.09.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;15.09.2016;15.09.2016;162;Kufry, aktovky, kabelky, peněženky, pásky;21;peníze;20;platební karty;3510;205;1d;;234;1;;;15.09.2016;02.11.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;20.09.2016;20.09.2016;162;Kufry, aktovky, kabelky, peněženky, pásky;11;občanské průkazy;16;řidičské průkazy;7000;205;1a;1d;234;1;;;20.09.2016;03.11.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;2;6;0;0;05.09.2016;05.09.2016;11;občanské průkazy;16;řidičské průkazy;21;peníze;1500;205;1d;;234;1;;;07.09.2016;18.10.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;2;6;0;0;11.09.2016;11.09.2016;70;mobilní telefony;11;občanské průkazy;20;platební karty;1000;205;1d;;234;1;;;11.09.2016;07.11.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;11.09.2016;11.09.2016;162;Kufry, aktovky, kabelky, peněženky, pásky;20;platební karty;21;peníze;3680;205;1d;;234;1;;;12.09.2016;02.01.1900;0;nic
Brno - město;OOP BRNO - STŘED;3;18;411;2;6;0;0;19.08.2016;19.08.2016;21;peníze;11;občanské průkazy;19;ostatní -osobní doklady a předtisky;1200;205;1d;;;;;;19.08.2016;13.10.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;2;6;0;0;10.09.2016;10.09.2016;162;Kufry, aktovky, kabelky, peněženky, pásky;20;platební karty;21;peníze;1000;205;1d;;234;1;;;13.09.2016;08.11.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;2;6;0;0;04.10.2016;04.10.2016;21;peníze;162;Kufry, aktovky, kabelky, peněženky, pásky;11;občanské průkazy;3630;205;1d;;234;1;;;05.10.2016;28.11.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;2;6;0;0;18.09.2016;18.09.2016;13;osobní průkazy a pasy zahraniční;20;platební karty;21;peníze;2060;205;1d;;234;1;;;19.09.2016;14.11.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;27.09.2016;27.09.2016;21;peníze;20;platební karty;11;občanské průkazy;700;205;1d;;;;;;03.10.2016;02.01.1900;0;nic
Brno - město;OOP BRNO - STŘED;3;18;411;2;1;0;0;08.09.2016;02.01.1900;162;Kufry, aktovky, kabelky, peněženky, pásky;11;občanské průkazy;446;paměťové karty ostatní;2456;205;1d;;;;;;08.09.2016;04.11.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;17.08.2016;17.08.2016;407;i-phony, tablety a jiné (chytré) mobilní telefony;0;nic;0;nic;12000;205;1a;1d;;;;;17.08.2016;10.10.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;21.08.2016;21.08.2016;11;občanské průkazy;20;platební karty;21;peníze;250;205;1d;;234;1;;;21.08.2016;24.10.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;2;6;0;0;13.08.2016;13.08.2016;162;Kufry, aktovky, kabelky, peněženky, pásky;11;občanské průkazy;20;platební karty;10000;205;1a;1d;234;1;;;13.08.2016;22.09.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;2;6;0;0;14.08.2016;14.08.2016;70;mobilní telefony;21;peníze;145;klíče od domu,bytu;6140;205;1a;1d;;;;;14.08.2016;23.09.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;10.08.2016;10.08.2016;21;peníze;0;nic;0;nic;1000;205;1d;;;;;;11.08.2016;09.10.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;17.09.2016;17.09.2016;21;peníze;13;osobní průkazy a pasy zahraniční;20;platební karty;1484;205;1d;;234;1;;;19.09.2016;03.11.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;2;6;0;0;14.08.2016;14.08.2016;162;Kufry, aktovky, kabelky, peněženky, pásky;21;peníze;20;platební karty;2485;205;1d;;234;1;;;15.08.2016;26.09.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;18.08.2016;18.08.2016;162;Kufry, aktovky, kabelky, peněženky, pásky;24;valuty a devizy - bankovky;13;osobní průkazy a pasy zahraniční;12150;205;1a;1d;234;1;;;19.08.2016;17.10.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;15.09.2016;15.09.2016;13;osobní průkazy a pasy zahraniční;21;peníze;0;nic;4500;205;1d;;;;;;15.09.2016;10.11.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;18.09.2016;18.09.2016;162;Kufry, aktovky, kabelky, peněženky, pásky;21;peníze;11;občanské průkazy;400;205;1d;;234;1;;;18.09.2016;25.10.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;2;0;0;0;03.09.2016;03.09.2016;11;občanské průkazy;21;peníze;20;platební karty;5800;205;1a;1d;;;;;03.09.2016;26.10.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;16.09.2016;16.09.2016;13;osobní průkazy a pasy zahraniční;21;peníze;0;nic;10700;205;1d;;178;1;234;1;16.09.2016;19.10.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;10.09.2016;10.09.2016;11;občanské průkazy;16;řidičské průkazy;19;ostatní -osobní doklady a předtisky;2281;205;1d;;234;1;;;10.09.2016;08.11.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;21.08.2016;21.08.2016;13;osobní průkazy a pasy zahraniční;70;mobilní telefony;0;nic;4500;205;1d;;;;;;16.09.2016;09.11.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;3;18;411;2;6;0;0;19.08.2016;19.08.2016;21;peníze;0;nic;0;nic;3650;205;1d;;;;;;19.08.2016;14.10.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;07.08.2016;07.08.2016;11;občanské průkazy;16;řidičské průkazy;21;peníze;1300;205;1d;;234;1;;;07.08.2016;27.09.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;2;6;0;0;05.08.2016;05.08.2016;162;Kufry, aktovky, kabelky, peněženky, pásky;21;peníze;20;platební karty;11600;205;1a;1d;234;1;;;08.08.2016;14.11.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;3;18;411;2;6;0;0;28.07.2016;28.07.2016;70;mobilní telefony;0;nic;0;nic;2300;205;1d;;;;;;01.08.2016;28.06.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;2;1;0;0;16.11.2016;16.11.2016;162;Kufry, aktovky, kabelky, peněženky, pásky;11;občanské průkazy;16;řidičské průkazy;1700;205;1d;;234;1;;;17.11.2016;06.01.2017;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;411;1;6;0;0;01.12.2016;01.12.2016;70;mobilní telefony;0;nic;0;nic;2500;205;1d;;;;;;02.12.2016;02.01.1900;0;nic
Brno - město;OOP BRNO - STŘED;3;18;411;2;6;0;0;01.10.2016;01.10.2016;407;i-phony, tablety a jiné (chytré) mobilní telefony;11;občanské průkazy;16;řidičské průkazy;15800;205;1a;1d;234;1;;;01.10.2016;28.11.2016;5;odloženo podle § 159a/5 tr. řádu
