Útvar městské části (okres) PČR;Základní útvar PČR, kde došlo k činu;Stadium TČ, 1-příparava, 2-pokus, 3-dokonaný;Druh TČ, 11-zločin, 18-přečin;Takticko-statistická klasifikace činu;Spácháno na ulici-1, ne-2;Čin spáchán na : viz číselník;Použití zbraně : viz číselník;Druh použité zbraně : viz číselník;Datum spáchání činu, či zahájení konání;Datum ukončení konání činu (pokud jiné datum);Předmět zájmu pachatele č. 1;Předmět zájmu pachatele nebo vztah pachatele k oběti - text;Předmět zájmu pachatele č. 2;Předmět zájmu pachatele nebo vztah pachatele k oběti - text;Předmět zájmu pachatele č. 3;Předmět zájmu pachatele nebo vztah pachatele k oběti - text;Celková způsobená škoda v Kč;Hlavní kvalifikace činu - paragraf TZ;První odstavec ;Druhý odstavec;Souběhový paragraf;Odstavec souběhu;Druhý souběhový paragraf;Odstavec souběhu;Datum zahájení trestního řízení;Datum ukončení trestního řízení;Způsob ukončení trestního řízení;"Způsob ukončení trestního řízení - text (kde je kód ""0"" tam ještě řízení nemusí být ukončeno"
Brno - město;OOP BRNO - STŘED;3;18;143;1;6;0;0;25.12.2016;25.12.2016;0;nic;0;nic;0;nic;0;325;1a;;358;1;;;25.12.2016;25.12.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;3;11;151;1;6;0;0;16.04.2016;16.04.2016;620;bez vztahu;0;nic;0;nic;0;146;1;3;;;;;16.04.2016;26.07.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;3;18;151;1;6;0;0;21.02.2016;21.02.2016;620;bez vztahu;0;nic;0;nic;0;146;1;;358;1;;;24.02.2016;25.07.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;3;18;151;2;6;0;0;23.01.2016;23.01.2016;620;bez vztahu;0;nic;0;nic;0;146;1;;358;1;;;11.02.2016;10.06.2016;5;odloženo podle § 159a/5 tr. řádu
Brno - město;OOP BRNO - STŘED;3;18;151;1;6;0;0;01.01.2016;02.01.1900;620;bez vztahu;0;nic;0;nic;0;146;1;;358;1;358;2a;15.01.2016;26.05.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;3;18;151;2;6;0;0;03.06.2016;04.06.2016;620;bez vztahu;0;nic;0;nic;0;146;1;;;;;;06.06.2016;10.08.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;3;18;151;2;6;0;0;08.01.2016;08.01.2016;620;bez vztahu;0;nic;0;nic;0;146;1;;358;1;;;15.01.2016;24.08.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;3;18;151;1;6;0;0;29.05.2016;29.05.2016;620;bez vztahu;0;nic;0;nic;0;146;1;;358;1;;;29.05.2016;21.10.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;3;18;151;2;6;0;0;29.04.2016;29.04.2016;620;bez vztahu;0;nic;0;nic;0;146;1;2d;358;2a;;;27.05.2016;16.06.2016;1;zjištění pachatele
Brno - město;OOP BRNO - STŘED;3;11;151;2;6;0;0;14.05.2016;14.05.2016;620;bez vztahu;0;nic;0;nic;0;145;1;;358;1;358;2a;09.06.2016;31.08.2016;1;zjištění pachatele
